City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
260,Kavieng,PG,-2.5744,150.7967,83.05,77,100,4.38,overcast clouds
261,Ahipara,NZ,-35.1667,173.1667,67.06,97,100,5.59,moderate rain
262,Partapur,IN,23.6,74.1667,67.73,47,1,6.17,clear sky
263,Blagoveshchensk,RU,50.2667,127.5333,-4.59,65,0,4.47,clear sky
264,Codajas,BR,-3.8367,-62.0569,76.89,96,100,3.18,overcast clouds
265,Tuatapere,NZ,-46.1333,167.6833,48.81,84,53,2.53,broken clouds
266,Maniitsoq,GL,65.4167,-52.9,17.85,71,47,5.77,scattered clouds
267,Kudahuvadhoo,MV,2.6708,72.8944,81.39,75,100,11.45,light rain
268,Hirara,JP,24.8,125.2833,70.77,73,98,28.03,overcast clouds
269,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,81.81,77,100,7.34,moderate rain
270,Hithadhoo,MV,-0.6,73.0833,81.14,78,100,10.54,overcast clouds
271,Walvis Bay,NA,-22.9575,14.5053,65.35,77,0,14.97,clear sky
272,Verkhnevilyuysk,RU,63.4453,120.3167,-25.06,95,100,6.13,overcast clouds
273,Moranbah,AU,-22.0016,148.0466,72.0,80,1,11.23,clear sky
274,Sulangan,PH,11.1373,123.7228,80.64,85,69,15.39,broken clouds
275,Namibe,AO,-15.1961,12.1522,71.89,77,5,5.03,clear sky
276,Kruisfontein,ZA,-34.0033,24.7314,69.89,85,98,9.33,overcast clouds
277,Port Blair,IN,11.6667,92.75,79.79,76,11,11.21,few clouds
278,Abasolo,MX,20.45,-101.5167,74.52,35,63,4.34,broken clouds
279,Santa Cruz,BO,-17.8,-63.1667,75.25,88,90,11.5,overcast clouds
280,Chulym,RU,55.0997,80.9572,-5.15,100,53,6.22,broken clouds
281,Godo,JP,35.4167,136.6,51.62,100,92,8.63,overcast clouds
282,Avera,US,33.194,-82.5271,61.48,42,16,9.13,few clouds
283,Harlingen,US,26.1906,-97.6961,67.91,54,90,9.22,overcast clouds
284,Port-Gentil,GA,-0.7193,8.7815,79.48,82,100,7.11,overcast clouds
285,Tasiilaq,GL,65.6145,-37.6368,37.56,69,100,21.27,overcast clouds
286,Labuhan,ID,-6.8844,112.2051,78.39,87,59,9.86,broken clouds
287,Winslow,US,35.0242,-110.6974,42.96,40,1,1.99,clear sky
288,Komsomolskiy,UZ,40.4272,71.7189,36.82,51,27,2.3,haze
289,Vao,NC,-22.6667,167.4833,77.94,89,100,16.17,light rain
290,Rathdrum,US,47.8137,-116.892,40.23,86,75,3.0,broken clouds
291,Yablonovo,RU,50.8523,37.3574,28.26,71,85,13.11,overcast clouds
292,Corn Island,NI,12.1694,-83.0418,80.73,78,10,15.88,clear sky
293,Idanre,NG,7.1127,5.1159,80.65,32,83,2.46,broken clouds
294,Kirakira,SB,-10.4544,161.9205,81.72,85,100,13.38,overcast clouds
295,Ust-Maya,RU,60.4167,134.5333,-39.96,100,99,0.56,overcast clouds
296,Baruun-Urt,MN,46.6806,113.2792,13.06,59,5,23.15,clear sky
297,Bloomsburg,US,41.0037,-76.4549,47.14,50,14,10.45,few clouds
298,Ust-Nera,RU,64.5667,143.2,-40.59,98,71,0.25,broken clouds
299,Laela,TZ,-8.5667,32.05,63.03,89,87,2.1,moderate rain
300,Turayf,SA,31.6725,38.6637,57.45,51,0,16.11,clear sky
301,Roros,NO,62.5747,11.3842,28.24,80,75,5.75,light snow
302,Ahar,IR,38.4774,47.0699,38.39,65,8,2.75,clear sky
303,Megion,RU,61.0296,76.1136,-2.18,98,98,1.66,overcast clouds
304,Kinarut,MY,5.8231,116.0466,78.82,94,20,4.61,few clouds
305,Camden,US,39.7835,-74.9663,49.59,42,3,5.01,clear sky
306,Yulara,AU,-25.2406,130.9889,69.64,88,90,5.75,overcast clouds
307,Bjornevatn,NO,69.6672,29.9847,26.22,86,75,11.5,broken clouds
308,Amahai,ID,-3.3333,128.9167,79.99,83,100,3.58,overcast clouds
309,Lamu,KE,-2.2717,40.902,80.82,80,73,11.18,light rain
310,Georgetown,MY,5.4112,100.3354,81.9,81,40,8.05,thunderstorm
311,Yinchuan,CN,38.4681,106.2731,25.3,33,0,3.09,clear sky
312,Port Shepstone,ZA,-30.7414,30.455,74.21,90,100,2.91,overcast clouds
313,Altay,CN,47.8667,88.1167,11.68,60,100,5.53,overcast clouds
314,San Jeronimo,PE,-11.9472,-75.2829,66.52,40,24,3.04,few clouds
315,Wanxian,CN,30.8039,108.3897,50.52,82,100,2.28,overcast clouds
316,Alofi,NU,-19.0595,-169.9187,77.86,74,7,9.37,clear sky
317,Chitral,PK,35.8462,71.7858,35.46,40,0,5.44,clear sky
318,Quatre Cocos,MU,-20.2078,57.7625,78.91,69,100,16.51,overcast clouds
319,Praxedis Guerrero,MX,31.3667,-106.0167,56.28,34,0,4.9,clear sky
320,Haines Junction,CA,60.7522,-137.5108,-11.25,70,99,1.14,overcast clouds
321,Manokwari,ID,-0.8667,134.0833,79.36,83,100,6.64,overcast clouds
322,Tiarei,PF,-17.5333,-149.3333,82.42,78,51,10.22,light rain
323,Calumboyan,PH,10.7917,124.0267,78.46,88,85,4.0,overcast clouds
324,Santa Cruz Del Sur,CU,20.7147,-77.9956,87.21,54,1,9.73,moderate rain
325,Severnyy,RU,50.677,36.5532,28.44,100,90,13.42,mist
326,Faanui,PF,-16.4833,-151.75,80.49,74,83,11.07,broken clouds
327,Sorland,NO,67.667,12.6934,39.27,68,94,12.91,overcast clouds
328,Barcelos,PT,41.5388,-8.6151,57.92,78,25,2.42,scattered clouds
329,Adrar,MR,20.5022,-10.0711,75.09,12,45,8.79,scattered clouds
330,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,60,90,33.38,overcast clouds
331,Ningyang,CN,35.7642,116.7914,36.72,47,0,3.36,clear sky
332,Seoul,KR,37.5683,126.9778,26.04,54,0,5.75,clear sky
333,Kakching,IN,24.4833,93.9833,49.77,85,0,1.28,clear sky
334,Benguela,AO,-12.5763,13.4055,78.78,82,72,7.94,broken clouds
335,Kushima,JP,31.4583,131.2333,53.11,71,7,13.53,clear sky
